,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,PPI,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
222,Toshiba,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.2,10913070,166.0,0,0,0,0,0,0
223,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,2.1,6357286,141.0,0,0,1,0,0,0
224,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,19667078,127.0,1,0,1,0,0,0
225,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,6661518,141.0,0,0,0,0,0,0
226,Dell,Notebook,Intel Core i7,16,1TB HDD,AMD Radeon,Windows 10,2.3,6877791,141.0,0,1,1,0,0,0
227,Asus,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,6157119,141.0,0,0,0,0,0,0
228,Asus,Notebook,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce,Windows 10,2.69,7133972,127.0,0,0,500,0,0,0
229,HP,Notebook,Intel Core i7,8,1TB HDD,AMD FirePro,Windows 10,1.9,10160454,141.0,0,0,1,0,0,0
230,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.37,3194615,141.0,0,0,1,0,0,0
231,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,2642165,141.0,0,0,500,0,0,0
232,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,12002042,141.0,1,0,1,0,0,0
233,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,6877701,157.0,0,0,0,0,0,0
234,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,5516621,166.0,1,1,0,0,0,0
235,Dell,Notebook,Intel Core i7,16,256GB SSD,AMD Radeon,Linux,2.36,7198040,141.0,0,0,0,0,0,0
236,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,3122584,141.0,0,0,1,0,0,0
237,Asus,Notebook,AMD A-Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.2,4603835,141.0,0,0,1,0,0,0
238,Asus,Gaming,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.7,31145930,127.0,0,0,1,0,0,0
239,Acer,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,6773636,141.0,1,0,0,0,0,0
240,Lenovo,Notebook,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,2.2,4715954,141.0,0,0,0,0,0,0
241,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.1,9167673,127.0,0,0,1,0,0,0
242,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.69,7117955,127.0,0,0,1,0,0,0
243,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.56,7037870,141.0,0,0,0,0,0,0
245,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,7886588,141.0,0,0,2,0,0,0
246,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.04,4475700,141.0,0,1,1,0,0,0
247,Asus,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,3.6,24012047,127.0,0,0,0,0,0,0
248,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,5404503,166.0,1,0,500,0,0,0
249,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,Mac OS,1.37,16333590,166.0,1,0,0,0,0,0
250,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.08,6557452,141.0,1,1,1,0,0,0
251,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.3,14404043,127.0,0,0,1,0,0,0
252,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,1.68,3755118,141.0,0,0,1,0,0,0
254,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,5620686,127.0,1,0,0,0,0,0
255,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.41,7598373,166.0,0,0,0,0,0,0
256,HP,Notebook,AMD A-Series,8,128GB SSD,AMD Radeon,Windows 10,1.91,3570163,141.0,0,0,0,0,0,0
257,HP,Notebook,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows 10,2.9,8479035,127.0,1,0,1,0,0,0
258,MSI,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,20008712,127.0,0,0,1,0,0,0
259,Lenovo,2 in 1 Convertible,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.0,13603376,141.0,1,1,0,0,0,0
260,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,9143603,127.0,0,0,1,0,0,0
261,Lenovo,Notebook,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,3554951,141.0,0,0,0,0,0,0
262,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,5780855,141.0,1,0,500,0,0,0
263,Dell,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,2.18,5260350,141.0,0,0,1,0,0,0
264,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.24,4523751,141.0,0,0,1,0,0,0
265,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.67,6397373,141.0,0,1,0,0,0,0
266,Asus,2 in 1 Convertible,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD,Windows 10,1.1,12002042,166.0,0,1,0,0,0,0
267,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.2,3739101,141.0,0,0,1,0,0,0
268,HP,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,8150823,127.0,0,0,1,0,0,0
269,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,2.05,7045834,141.0,0,0,0,0,0,0
270,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,Mac OS,1.37,15684233,166.0,1,0,0,0,0,0
271,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,12402375,127.0,0,0,1,0,0,0
272,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.14,5885458,141.0,0,0,0,0,0,0
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,20008712,157.0,0,1,0,0,0,0
274,Toshiba,Notebook,Intel Core i7,8,500GB HDD,Nvidia GeForce,Windows 10,2.2,6501438,141.0,0,0,500,0,0,0
275,Dell,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.3,5709361,141.0,0,0,1,0,0,0
276,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,8799374,127.0,0,0,1,0,0,0
277,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,5965005,141.0,1,0,1,0,0,0
278,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.8,3915287,127.0,0,0,1,0,0,0
279,Lenovo,Notebook,Intel Core i7,8,2TB HDD,Nvidia GeForce,No OS,2.8,6797706,127.0,0,0,2,0,0,0
280,Lenovo,Notebook,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,6877701,127.0,0,0,1,0,0,0
281,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,3426816,141.0,0,0,1,0,0,0
282,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,6637537,141.0,1,0,0,0,0,0
283,Lenovo,Notebook,Intel Core i5,6,256GB SSD,Intel HD,Windows 10,2.2,4635869,141.0,0,0,0,0,0,0
284,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,7614301,141.0,1,0,0,0,0,0
285,Acer,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.15,5276367,141.0,1,1,1,0,0,0
286,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.95,8783357,141.0,1,0,0,0,0,0
287,Asus,Ultrabook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,7822521,141.0,0,0,0,0,0,0
288,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,9439872,141.0,1,0,1,0,0,0
289,Lenovo,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,5276457,141.0,0,0,1,0,0,0
290,Acer,Notebook,Other Intel Processor,2,16GB SSD,Intel HD,Chrome OS,2.19,1593370,141.0,0,0,0,0,0,0
291,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,9503939,127.0,0,0,1,0,0,0
292,HP,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.54,3915287,127.0,0,0,1,0,0,0
293,Dell,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,14644207,141.0,0,0,0,0,0,0
294,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.05,5916954,141.0,0,0,0,0,0,0
295,Lenovo,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.2,10400708,141.0,1,0,1,0,0,0
296,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,7838537,141.0,0,0,0,0,0,0
297,Dell,Workstation,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,3.42,23098099,127.0,0,0,0,0,0,0
298,Lenovo,Notebook,AMD A-Series,6,1TB HDD,AMD Radeon,Windows 10,2.4,3995371,141.0,0,0,1,0,0,0
299,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.63,11753824,141.0,0,0,0,0,0,0
300,Asus,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.3,4075367,157.0,0,0,0,0,0,0
301,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,16990194,127.0,0,0,1,0,0,0
302,Lenovo,Notebook,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows 10,2.8,5196372,127.0,0,0,1,0,0,0
303,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Nvidia GeForce,No OS,2.2,4395705,141.0,0,0,2,0,0,0
304,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,10128420,141.0,0,0,1,0,0,0
305,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,2882330,141.0,0,0,1,0,0,0
306,HP,2 in 1 Convertible,Intel Core i7,16,256GB SSD,Intel HD,Windows 10,1.28,15813174,166.0,0,1,0,0,0,0
307,Toshiba,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,8350989,141.0,1,0,0,0,0,0
308,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,6557452,141.0,0,0,1,0,0,0
309,HP,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.86,3755118,141.0,0,0,1,0,0,0
310,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,7998707,166.0,1,0,0,0,0,0
311,Dell,Ultrabook,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.21,20008712,166.0,1,1,0,0,0,0
312,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,16806044,141.0,1,0,1,0,0,0
313,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.23,3755118,141.0,0,0,0,0,0,0
314,Asus,2 in 1 Convertible,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.1,2201834,190.0,0,1,0,0,0,32
315,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.33,6757619,141.0,0,0,1,0,0,0
316,HP,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.29,19608379,166.0,1,1,0,0,0,0
317,Lenovo,Notebook,Other Intel Processor,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,3682281,166.0,0,0,0,0,0,16
318,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.95,7846501,157.0,0,0,0,0,0,0
319,Acer,Notebook,Other Intel Processor,4,128GB Flash Storage,Intel HD,Windows 10,1.4,3883253,190.0,0,0,0,0,0,128
320,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.48,10344604,157.0,0,0,0,0,0,0
321,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows 10,2.79,4715954,127.0,0,0,1,0,0,0
322,Asus,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.0,8759287,157.0,0,0,0,0,0,0
323,HP,Notebook,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.1,7222020,141.0,1,0,1,0,0,0
324,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.2,5276367,141.0,0,0,0,0,0,0
325,Lenovo,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.44,2337933,157.0,0,0,0,0,0,32
326,Acer,Notebook,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,2.23,4395705,141.0,0,0,1,0,0,0
327,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,8406199,141.0,0,0,0,0,0,0
328,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.26,10688923,176.0,0,0,0,0,0,0
329,Dell,Notebook,Intel Core i7,32,1TB SSD,Nvidia GeForce,Windows 10,2.06,21129628,141.0,0,1,0,0,0,0
330,MSI,Gaming,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,9600041,127.0,0,0,1,0,0,0
331,Toshiba,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,7550322,141.0,1,0,0,0,0,0
332,Asus,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows 10,2.0,10680870,157.0,0,0,1,0,0,0
333,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,3595038,141.0,0,0,1,0,0,0
334,Asus,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,7998707,141.0,0,0,0,0,0,0
335,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.48,10152490,157.0,0,0,0,0,0,0
336,Dell,Ultrabook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.9,8399040,141.0,1,0,1,0,0,0
337,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.84,9159620,141.0,0,0,0,0,0,0
338,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Linux,2.0,2201745,141.0,0,0,1,0,0,0
339,Dell,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,9149598,141.0,0,0,0,0,0,0
340,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Linux,2.2,2201029,141.0,0,0,500,0,0,0
341,Lenovo,Notebook,AMD A-Series,12,2TB HDD,AMD Radeon,Windows 10,2.2,7198040,141.0,0,0,2,0,0,0
342,HP,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows 10,2.1,5732805,141.0,1,0,1,0,0,0
344,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,12642540,166.0,0,0,0,0,0,0
345,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.4,9039538,141.0,1,0,2,0,0,0
346,HP,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.44,2233868,157.0,0,0,0,0,0,32
347,Dell,Ultrabook,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,12874382,141.0,0,0,0,0,0,0
348,Asus,2 in 1 Convertible,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,3002501,190.0,0,1,0,0,0,32
349,Dell,Ultrabook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,1.9,5308401,141.0,0,0,1,0,0,0
350,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,16232925,141.0,0,1,0,0,0,0
351,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.84,10440705,141.0,0,0,0,0,0,0
352,MSI,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,11281370,127.0,0,0,1,0,0,0
353,HP,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.6,13917719,141.0,0,0,0,0,0,0
354,Toshiba,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.4,11233319,141.0,1,0,0,0,0,0
355,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,7773664,141.0,0,0,2,0,0,0
356,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,2578098,141.0,0,0,1,0,0,0
357,Dell,Gaming,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.65,7998707,141.0,0,0,1,0,0,0
358,Dell,Notebook,Intel Core i5,8,2TB HDD,Intel HD,Windows 10,2.36,4462636,141.0,0,1,2,0,0,0
359,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,11425522,157.0,0,0,0,0,0,0
360,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,1.86,3514953,141.0,0,0,500,0,0,0
361,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,7566339,157.0,0,0,0,0,0,0
362,Lenovo,Notebook,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,5756785,127.0,0,0,1,0,0,0
363,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,1.86,5116287,141.0,0,0,1,0,0,0
364,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,3995371,141.0,0,0,0,0,0,0
365,HP,Notebook,Other Intel Processor,8,2TB HDD,Intel HD,Windows 10,2.04,3114620,141.0,0,0,2,0,0,0
366,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,8687255,127.0,0,0,1,0,0,0
367,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,6477368,141.0,1,0,1,0,0,0
368,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.33,7198040,141.0,0,0,0,0,0,0
369,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.36,14011673,157.0,1,0,0,0,0,0
370,Asus,2 in 1 Convertible,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.26,8799374,141.0,0,1,2,0,0,0
371,Acer,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.1,3410799,141.0,0,0,0,0,0,0
372,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.25,17606711,127.0,1,0,1,0,0,0
373,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.6,3915287,127.0,0,0,0,0,0,0
374,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.62,6957875,166.0,0,1,0,0,0,0
375,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,3915197,141.0,0,0,0,0,0,0
376,Lenovo,Netbook,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.59,4427649,190.0,1,0,0,0,0,0
377,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.8,2474033,141.0,0,0,500,0,0,0
378,Asus,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,2289883,157.0,0,0,0,0,0,32
379,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,6773636,141.0,0,0,1,0,0,0
380,HP,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,9535973,127.0,1,0,1,0,0,0
381,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,3230675,141.0,0,0,0,0,0,0
382,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,13251004,141.0,1,0,1,0,0,0
383,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.5,8799374,157.0,1,0,0,0,0,0
384,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.1,14002904,166.0,0,1,0,0,0,0
385,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.13,18271190,157.0,1,0,0,0,0,0
386,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.5,4395705,166.0,1,0,0,0,0,0
387,Dell,Workstation,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,2.23,10961121,141.0,0,0,500,0,0,0
388,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.0,17094259,141.0,1,0,0,0,0,0
389,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.42,20088707,157.0,0,1,0,0,0,0
390,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,8318956,127.0,0,0,1,0,0,0
391,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,12738641,127.0,0,0,1,0,0,0
392,Acer,Notebook,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.2,5556529,141.0,1,0,1,0,0,0
393,MSI,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.7,10801041,127.0,0,0,0,0,0,0
394,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.33,6236130,141.0,0,0,0,0,0,0
395,HP,Ultrabook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,3995371,141.0,0,0,0,0,0,0
396,Lenovo,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.1,9844679,141.0,1,0,0,0,0,0
397,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,7510235,157.0,1,0,0,0,0,0
398,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,21714112,141.0,0,1,0,0,0,0
399,Lenovo,Ultrabook,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.13,21017510,157.0,1,0,0,0,0,0
400,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.2,2450052,141.0,0,0,1,0,0,0
401,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,12242206,127.0,0,0,1,0,0,0
402,Lenovo,Notebook,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.1,9163647,141.0,1,0,1,0,0,0
403,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,7037870,141.0,0,0,0,0,0,0
404,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,18007045,127.0,0,0,1,0,0,0
405,Asus,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.1,14996490,157.0,0,0,0,0,0,0
406,Toshiba,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.2,13987693,166.0,0,0,0,0,0,0
407,Dell,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.36,13451170,157.0,0,0,0,0,0,0
408,Lenovo,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.2,3274700,141.0,0,0,500,0,0,0
409,Lenovo,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.15,2437614,190.0,0,0,0,0,0,32
410,Lenovo,Workstation,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows 10,2.67,15412841,141.0,0,0,0,0,0,0
411,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,1.7,15556993,157.0,1,0,0,0,0,0
412,HP,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.1,3755118,141.0,0,0,1,0,0,0
413,Acer,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.6,6317377,166.0,1,1,0,0,0,0
414,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.27,7430151,166.0,1,1,0,0,0,0
415,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,4795233,141.0,0,0,0,0,0,0
416,Dell,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.65,5516621,166.0,0,0,0,0,0,0
417,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.43,12010006,157.0,0,0,0,0,0,0
418,Dell,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.14,4323226,141.0,0,0,1,0,0,0
419,Lenovo,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.75,9731129,157.0,1,0,0,0,0,0
420,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.0,15204710,141.0,1,1,0,0,0,0
422,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.31,11425522,141.0,0,0,0,0,0,0
423,Asus,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,4780022,141.0,0,0,1,0,0,0
424,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,22410713,127.0,1,0,1,0,0,0
425,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,9279702,141.0,1,0,1,0,0,0
426,Dell,Notebook,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,9146825,141.0,0,0,2,0,0,0
427,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Linux,1.6,8799374,157.0,0,0,0,0,0,0
